"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213358",281.643456714617,0.37782441339931,0.0781706404038343,4.83332887446548,1.34268699790004e-06,0.0463227014275515
"ENSG00000260633",15.0241841749476,-1.66489985617831,0.365116889201575,-4.55990918365638,5.11757477175445e-06,0.0818525998061713
"PEX5",427.241178697874,-0.486357795228218,0.108316829675335,-4.49014060590593,7.11761737444968e-06,0.0818525998061713
"ARPIN-AP3S2",59.1390407940428,-3.90481341630876,0.893906674220201,-4.36825624969757,1.25242493897085e-05,0.108021650986236
"ENSG00000269906",101.660339812507,0.694618501031247,0.164736680944675,4.21653815682086,2.48081326554045e-05,0.116157182390571
"ENSG00000288218",7.95997384816007,-2.52910970955016,0.602180521090391,-4.19991949419188,2.67009901550771e-05,0.116157182390571
"FLNC",286.733230208952,-1.21655189905256,0.290754163519207,-4.18412546299513,2.86265986925015e-05,0.116157182390571
"KL",71.3947523989888,-0.884910960023691,0.212148538782179,-4.17118574138407,3.03018736671054e-05,0.116157182390571
"POLR2I",45.7687098071113,-1.00094023907766,0.235770964216795,-4.24539231284341,2.18211290036989e-05,0.116157182390571
"ENSG00000225850",5.43766638592876,1.62673741237752,0.398210356294495,4.08512080779354,4.4053889805441e-05,0.151985919828771
"BIRC3",13047.6400952649,0.94991191849013,0.237507118887285,3.99950924814567,6.34739675335663e-05,0.152533647955415
"ENSG00000233139",63.8337350977573,0.734999900862125,0.185491299919572,3.96244945817306,7.41847150224426e-05,0.152533647955415
"ENSG00000261177",777.638236811869,0.659500341100109,0.166338040614261,3.96481970488936,7.34514427001843e-05,0.152533647955415
"ENSG00000284837",45.6522928260903,-0.861962266940776,0.217490285453663,-3.96322192112078,7.39449846163865e-05,0.152533647955415
"LINC00159",188.870529717968,0.580788880743915,0.147197148531623,3.94565306826674,7.95827728463036e-05,0.152533647955415
"NT5C1A",463.65086137991,0.545790205979876,0.136472018884676,3.99928285988858,6.35347092693755e-05,0.152533647955415
"SPATS1",433.634716207092,0.539548924245748,0.136384713648031,3.95608063260055,7.61894541947439e-05,0.152533647955415
"UFSP2",219.790963213755,-0.559324580851509,0.139240575225901,-4.01696545668582,5.89523615263808e-05,0.152533647955415
"ALDH1B1",513.234492387964,-0.5817927642351,0.151039968030334,-3.85191265478986,0.000117198829347756,0.186581590023499
"C3orf62",962.791814103035,0.277626170781891,0.0735237765833619,3.77600530988933,0.000159363594764332,0.186581590023499
"ENSG00000224228",4.89306698596075,-3.93289077643361,1.03197424471927,-3.81103578559121,0.000138385730222001,0.186581590023499
"ENSG00000266222",34.3825809858238,0.955573629850353,0.253364487458108,3.77153735883506,0.000162244860889999,0.186581590023499
"ENSG00000286209",122.151755939667,-0.500364928399224,0.13153003215733,-3.80418768392538,0.000142270284408713,0.186581590023499
"HTR3B",727.459842674842,0.22039663988869,0.0582925218108476,3.7808733100251,0.000156279190816195,0.186581590023499
"LINC02452",246.231795939657,0.342303546875973,0.0889006712753367,3.85040452412125,0.000117922893641276,0.186581590023499
"LINC02605",2543.7870257573,0.826989037643586,0.21859016169733,3.78328572165417,0.000154771572180514,0.186581590023499
"MCTS2P",18.8577614967839,-4.07920714731819,1.06253648208261,-3.83912196532094,0.000123475086092674,0.186581590023499
"PRPF31",254.71343774898,-0.423095599432518,0.110588422826851,-3.82585797516039,0.000130317410055249,0.186581590023499
"RPL17-C18orf32",23.5725749919913,-5.88261606239601,1.52390365487492,-3.86022833108753,0.000113281122449326,0.186581590023499
"TECR",1067.01135605356,-0.351845505210866,0.0932844684265197,-3.77174797847527,0.000162107944069133,0.186581590023499
"YBX1",2351.45496033166,-0.478300978679803,0.12730618040754,-3.75709158148205,0.000171899599750752,0.19130761907745
"CNNM3-DT",11.9378770665618,1.18039880889894,0.314883568333485,3.74868341065296,0.000177765313317471,0.191653228420398
"ETV7",289.05477530754,0.780787399840915,0.211093976160778,3.69876684328611,0.00021664950163847,0.214852249171868
"GSN-AS1",248.044898211125,0.381049891665646,0.103063654699847,3.69722859892151,0.000217966049884504,0.214852249171868
"NPFFR1",1246.62021735943,0.30802302004335,0.083179267039267,3.70312255694606,0.00021296193572986,0.214852249171868
"ETV6",3068.55231351632,0.417386128165876,0.113531158667506,3.67640155411659,0.00023654707998413,0.226690951651458
"HSF1",801.063101127627,-0.300367814913745,0.0820230049304945,-3.66199476803214,0.000250258971958468,0.233349581961274
"KDM3B",3306.17442942529,0.177452882304901,0.0485800913585869,3.65279021389768,0.000259406155996864,0.235513483733995
"RNASE1",208.376892522228,-1.0166697559814,0.279011283134506,-3.64383025861819,0.000268610601273477,0.237617070357307
"ENSG00000279085",769.74697944102,0.235712127450607,0.0649110103822034,3.63131194635096,0.000281984093873915,0.243211280966252
"CDKL1",1997.34035663249,1.06424796388482,0.295976873719527,3.59571324107342,0.000323504005404126,0.243385775332992
"ENSG00000240634",115.090450463814,0.341377597604113,0.0947046874888614,3.6046536518508,0.000312569484120601,0.243385775332992
"FLG",83.5837363751523,3.07656082328761,0.855812279681852,3.59490147118632,0.000324514367110655,0.243385775332992
"FOXG1",13.5562446695726,1.42952098952889,0.396870728749871,3.60198141604405,0.000315800945161318,0.243385775332992
"N4BP1",1989.86784196017,0.412638776204457,0.114285910792152,3.61058308363934,0.000305509415492644,0.243385775332992
"PLIN5",377.99496802332,0.314578316379758,0.0874633433013209,3.59668753223852,0.000322295250644682,0.243385775332992
"GRIN2B",1238.87848102043,-2.54902079713125,0.710595482080985,-3.5871615587344,0.000334297211939707,0.245388034440711
"SLC5A8",144.734703940361,1.510240209133,0.421658523359551,3.58166650373911,0.000341409439221859,0.245388034440711
"SLC9A2",261.901216544885,-1.45717382701249,0.40850161928552,-3.56711885147756,0.000360927805534948,0.254122638590932
